SubeIsim,tel_no,fax,Toplu_Tasima,Sosyal_Olanaklar,Ozel_Ulasim
Madrid,0981883286,3359182003,Yes,Açık Spor Salonu,Yok
Barcelona,7654752265,0857184391,Yes,Yüzme Havuzu,Yok
Sevilla,4851251574,4793397325,Yes,Açık Spor Salonu,Yok
Bilbao,3675950435,2852844102,No,Cep Sinema,Yok
Valencia,5772004250,9744275360,No,Cep Sinema,Yok
Zaragoza,9259300418,6348740481,No,Açık Spor Salonu,Yok
Málaga,1336841135,7018804047,No,Açık Spor Salonu,Servis
Murcia,6903451233,9842920713,Yes,Cep Sinema,Servis
Granada,4916144027,6120098389,Yes,Cep Sinema,Yok
Vigo,6765531847,9673961703,No,Halısaha,Yok
